ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"009014095460003358","009","014","095460","00","3358",SE,BVI,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",50.00,1000.00,RUA ITAPEVA,"342",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"009014095460003359","009","014","095460","00","3359",SE,BVI,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",25.00,1127.00,RUA ITAPEVA,"342",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"018052172863000093","018","052","172863","00","0093",SE,BRE,"1",S,S,ZEM,"0",,R,"4","2018",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",291.00,220.00,RUA DR RODRIGO DE BARROS,"313",D,0.00,0.00,,U,,S,RESOLUCAO SMUL.AOC.CTLU/004/2018.,SAO PAULO,SAO PAULO,CENTRO
"018052172863000094","018","052","172863","00","0094",SE,BRE,"1",S,S,ZEM,"0",,R,"4","2018",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",468.00,300.00,RUA DR RODRIGO DE BARROS,"317",D,0.00,0.00,,U,,S,RESOLUCAO SMUL.AOC.CTLU/004/2018.,SAO PAULO,SAO PAULO,CENTRO
"033064192643000084","033","064","192643","00","0084",SE,LIB,"2",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",629.00,629.00,AV TURMALINA,"120",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"035025061166000263","035","025","061166","00","0263",SE,CMB,"3",S,S,ZC,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",400.00,432.00,RUA DOM DUARTE LEOPOLDO,"867",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"005068090328000495","005","068","090328","00","0495",SE,LIB,"4",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",1200.00,255.00,RUA BARAO DE IGUAPE,"46",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"010027026174002100","010","027","026174","00","2100",SE,BVI,"3",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1654.00,RUA AVANHANDAVA,"485",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
"001055101010000255","001","055","101010","00","0255",SE,REP,"2",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",ZEPEC,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1395.00,AV SAO JOAO,"596",R,0.00,0.00,,U,,S,ZEPEC-BIR.,SAO PAULO,SAO PAULO,CENTRO
"028069148059000037","028","069","148059","00","0037",SE,CMB,"1",S,S,ZM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"10",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,3436.00,PC ALBERTO LION,"223",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,CENTRO
